group,class,e.histolytica,iodamoeba
BN1,SA ,0,0
BN1,AF,0,0
BN1,AM,0,7
BN1,AF,0,0
BN1,AM,3,2
BN1,AF,2,2
BN1,SF,1,0
BN1,AF,0,0
BN1,SF,2,0
BN1,AF,6,4
BN1,JV,2,0
BN1,JV,4,144
BN1,SM,2,4
BN1,AM,1,0
BN1,AF,0,0
BN1,AF,1,0
BN1,AF,15,74
BN1,JV,0,0
BN1,AF,0,0
BN1,AF,6,9
BN1,SA,0,9
BN1,AF,0,0
BN1,SM,0,0
BN1,AM,0,0
BN1,JV,0,0
BN1,AF,6,21
BN1,AF,7,64
BN1,AF,6,27
BN1,AM,2,24
BN1,AF,1,15
BN1,AM,1,3
BN1,SF,2,1
BN1,AM,0,0
BN2,AM,0,0
BN2,AM,1,20
BN2,AF,3,2
BN2,AF,0,0
BN2,AF,0,0
BN2,AF,7,100
BN2,AF,3,119
BN2,AF,0,7
BN2,AM,28,87
BN2,JV,6,223
BN2,AF,0,40
BN2,AF,1,3
BN2,JV,1,0
BN2,JV,0,0
BN2,AM,2,8
BN2,JV,0,2
BN2,AF,4,9
BN2,AF,8,8
BN5,AM,0,0
BN5,AF,1,0
BN5,AF,0,0
BN5,AF,1,1
BN5,AF,0,0
BN5,AF,0,1
BN5,AF,3,8
BN5,AF,5,7
BN5,AF,1,0
BN5,SM,1,6
BN5,AM,2,12
BN5,AM,1,0
BN5,AF,0,0
BN5,SM,0,0
BN5,SM,0,0
BN5,SM,1,22
BN5,AF,3,0
BN5,AF,0,0
BN5,AF,0,2
BN5,AF,1,0
BN5,AF,1,3
BN5,AF,1,2
BN5,AF,0,3
BN5,AM,0,1
BN5,JV ,0,0
BN5,AM,1,5
BN5,AF,0,0
BN5,AF,2,2
BN5,AF,0,0
